"","community_type","day","alpha","compared","ts","ps","qs"
"1","family","day2","shannon","low_or_high_glucose",1.1640504858464,0.245360765922528,0.301124576359467
"2","family","day2","shannon","with_or_without_leucine",5.00877065056588,1.02484733470707e-06,2.51553436700825e-06
"3","family","day2","shannon","with_or_without_citrate",3.39100933048853,0.000786933050638184,0.00141647949114873
"4","family","day2","richeness","low_or_high_glucose",0.00568092108280928,0.995471001965076,0.996928402598742
"5","family","day2","richeness","with_or_without_leucine",-6.13114343779077,2.64900651469762e-09,8.66947586628313e-09
"6","family","day2","richeness","with_or_without_citrate",0.633299834928872,0.527006474562507,0.605496800561178
"7","family","day4","shannon","low_or_high_glucose",-3.20846916679489,0.00147294522965836,0.00256577556134037
"8","family","day4","shannon","with_or_without_leucine",-0.00385282187620246,0.996928402598742,0.996928402598742
"9","family","day4","shannon","with_or_without_citrate",0.397899217344846,0.690978041577307,0.75042109395325
"10","family","day4","richeness","low_or_high_glucose",-4.49441906193088,9.85115794825807e-06,2.17127562941198e-05
"11","family","day4","richeness","with_or_without_leucine",-1.5827351081556,0.114491990468601,0.160586168449466
"12","family","day4","richeness","with_or_without_citrate",1.82571170620197,0.0688503400012806,0.103275510001921
"13","family","day6","shannon","low_or_high_glucose",-9.4421742677171,2.46035438457743e-18,1.10715947305984e-17
"14","family","day6","shannon","with_or_without_leucine",0.989560088268034,0.323154263120459,0.387785115744551
"15","family","day6","shannon","with_or_without_citrate",-4.14085332106017,4.68139671126433e-05,9.19256081484632e-05
"16","family","day6","richeness","low_or_high_glucose",-11.387565244631,2.28775828373734e-25,1.30040997180859e-24
"17","family","day6","richeness","with_or_without_leucine",0.18318576115601,0.85477098808258,0.887478134895462
"18","family","day6","richeness","with_or_without_citrate",-1.63755852774069,0.102521058590295,0.145687820101998
"19","family","day8","shannon","low_or_high_glucose",-10.4260821705872,5.95829619899554e-20,3.02549021908081e-19
"20","family","day8","shannon","with_or_without_leucine",1.46853170455225,0.143024636056388,0.196700765842217
"21","family","day8","shannon","with_or_without_citrate",-1.99335927799173,0.0471411318634565,0.0717076372007508
"22","family","day8","richeness","low_or_high_glucose",-10.3830291765009,3.97143814749705e-21,2.14457659964841e-20
"23","family","day8","richeness","with_or_without_leucine",1.42889004541098,0.154098958773142,0.20546527836419
"24","family","day8","richeness","with_or_without_citrate",-0.836472862500193,0.403528572903659,0.478913031577969
"25","family","day10","shannon","low_or_high_glucose",-8.94687820927776,3.58170053360914e-16,1.43268021344366e-15
"26","family","day10","shannon","with_or_without_leucine",0.218146823178442,0.827462108654051,0.876136350339583
"27","family","day10","shannon","with_or_without_citrate",0.173860370990635,0.862087684133125,0.887478134895462
"28","family","day10","richeness","low_or_high_glucose",-12.2717145930708,5.98041973158308e-26,3.58825183894985e-25
"29","family","day10","richeness","with_or_without_leucine",-0.46158808857627,0.644699952258751,0.725287446291095
"30","family","day10","richeness","with_or_without_citrate",1.27525221807907,0.20317742276918,0.256939088275301
"31","family","day12","shannon","low_or_high_glucose",-5.64824046728625,3.71941803247809e-08,1.1477061357361e-07
"32","family","day12","shannon","with_or_without_leucine",-0.65599015061295,0.512356546887621,0.59499469961143
"33","family","day12","shannon","with_or_without_citrate",0.423042082809518,0.67256209891921,0.748832027662626
"34","family","day12","richeness","low_or_high_glucose",-8.81387822593299,1.41440877286179e-16,5.87523644111822e-16
"35","family","day12","richeness","with_or_without_leucine",-2.8280107185863,0.0049863224834974,0.00828496658796491
"36","family","day12","richeness","with_or_without_citrate",1.46519466074485,0.143882967606807,0.196700765842217
"37","genus","day2","shannon","low_or_high_glucose",1.74160400335935,0.0825702998799803,0.122158799822437
"38","genus","day2","shannon","with_or_without_leucine",1.3167932345485,0.18887187531759,0.24796982609951
"39","genus","day2","shannon","with_or_without_citrate",4.23369340739646,3.02816489220654e-05,6.1706001577039e-05
"40","genus","day2","richeness","low_or_high_glucose",1.31183241247267,0.19056940339129,0.24796982609951
"41","genus","day2","richeness","with_or_without_leucine",-4.09211870278719,5.4586175426805e-05,0.000105273338323124
"42","genus","day2","richeness","with_or_without_citrate",-0.531064908502148,0.595752383973442,0.677276394411913
"43","genus","day4","shannon","low_or_high_glucose",-9.18618057198241,6.56434731757834e-18,2.83579804119384e-17
"44","genus","day4","shannon","with_or_without_leucine",-3.02275239465515,0.00274045775571908,0.00462452246277595
"45","genus","day4","shannon","with_or_without_citrate",5.81645514195317,1.53031559895203e-08,4.86100249078879e-08
"46","genus","day4","richeness","low_or_high_glucose",-9.90086385438877,6.16303563146091e-20,3.02549021908081e-19
"47","genus","day4","richeness","with_or_without_leucine",-4.89404519462599,1.79434298417299e-06,4.30642316201517e-06
"48","genus","day4","richeness","with_or_without_citrate",1.43386543055624,0.152679347631649,0.20546527836419
"49","genus","day6","shannon","low_or_high_glucose",-21.0064681508258,4.48274971993413e-61,9.68273939505772e-60
"50","genus","day6","shannon","with_or_without_leucine",-5.42015130079032,1.27218551654525e-07,3.52297527658684e-07
"51","genus","day6","shannon","with_or_without_citrate",4.32988702886453,2.01477762608554e-05,4.18453814648536e-05
"52","genus","day6","richeness","low_or_high_glucose",-15.0524742538292,9.52299988482096e-39,7.34631419686188e-38
"53","genus","day6","richeness","with_or_without_leucine",-3.4985642932026,0.000541252833110101,0.000990767897896456
"54","genus","day6","richeness","with_or_without_citrate",-0.392669316561116,0.694834346253009,0.75042109395325
"55","genus","day8","shannon","low_or_high_glucose",-18.5723469654013,3.11886662558485e-52,3.36837595563164e-51
"56","genus","day8","shannon","with_or_without_leucine",-7.18677115624224,5.10656536462566e-12,1.90175537717094e-11
"57","genus","day8","shannon","with_or_without_citrate",5.00635684809388,9.29192458390159e-07,2.33378570944505e-06
"58","genus","day8","richeness","low_or_high_glucose",-17.5589772273924,8.87771744770255e-48,8.71630440319886e-47
"59","genus","day8","richeness","with_or_without_leucine",-2.23546808237824,0.0262201389676439,0.0404539286929363
"60","genus","day8","richeness","with_or_without_citrate",0.226212589103569,0.821184634578354,0.876136350339583
"61","genus","day10","shannon","low_or_high_glucose",-23.0033775822914,3.11655404967027e-69,1.68293918682195e-67
"62","genus","day10","shannon","with_or_without_leucine",-4.48056617560774,1.05024085041907e-05,2.26852023690519e-05
"63","genus","day10","shannon","with_or_without_citrate",4.46645270312492,1.11343866098903e-05,2.35787010562383e-05
"64","genus","day10","richeness","low_or_high_glucose",-22.8577009134192,1.42874953459415e-66,5.14349832453893e-65
"65","genus","day10","richeness","with_or_without_leucine",-1.68922899979567,0.0922332233137477,0.133026664703278
"66","genus","day10","richeness","with_or_without_citrate",2.24024264929328,0.0257843105969354,0.0403580513691164
"67","genus","day12","shannon","low_or_high_glucose",-19.0513465320757,5.68761217563317e-54,7.67827643710477e-53
"68","genus","day12","shannon","with_or_without_leucine",-2.64151264172543,0.00869314108305075,0.0140128244323803
"69","genus","day12","shannon","with_or_without_citrate",3.61712261195629,0.000347728828378086,0.000647495059738505
"70","genus","day12","richeness","low_or_high_glucose",-15.4149302799032,6.04910747221964e-39,5.02541236153632e-38
"71","genus","day12","richeness","with_or_without_leucine",-2.73871548086539,0.00655162417295147,0.0107208395557388
"72","genus","day12","richeness","with_or_without_citrate",1.27120496655231,0.204599644367369,0.256939088275301
"73","ASV","day2","shannon","low_or_high_glucose",0.172921489709827,0.862825964481699,0.887478134895462
"74","ASV","day2","shannon","with_or_without_leucine",-0.0713638453037048,0.943154135480748,0.960949496527555
"75","ASV","day2","shannon","with_or_without_citrate",4.7348061169895,3.3354894853304e-06,7.66452903012092e-06
"76","ASV","day2","richeness","low_or_high_glucose",-0.698152273331614,0.485610774782408,0.570064822570653
"77","ASV","day2","richeness","with_or_without_leucine",-3.97800731443304,8.72046768632099e-05,0.000165229914056608
"78","ASV","day2","richeness","with_or_without_citrate",0.40902373922622,0.682802425074573,0.75042109395325
"79","ASV","day4","shannon","low_or_high_glucose",-13.0626301567479,2.02228261134915e-31,1.28474424721005e-30
"80","ASV","day4","shannon","with_or_without_leucine",-4.57048994193,7.35006385745576e-06,1.65376436792755e-05
"81","ASV","day4","shannon","with_or_without_citrate",7.53258955674365,5.75220376291886e-13,2.21870716569727e-12
"82","ASV","day4","richeness","low_or_high_glucose",-9.52727292101637,1.37909668603168e-18,6.47575835180091e-18
"83","ASV","day4","richeness","with_or_without_leucine",-4.7893729566766,3.07468475824186e-06,7.21882508456785e-06
"84","ASV","day4","richeness","with_or_without_citrate",1.2096498183533,0.227402388569386,0.282292620293031
"85","ASV","day6","shannon","low_or_high_glucose",-21.5848319381276,1.63216806501198e-61,4.40685377553236e-60
"86","ASV","day6","shannon","with_or_without_leucine",-5.14439769198223,4.93063966289713e-07,1.29880264290949e-06
"87","ASV","day6","shannon","with_or_without_citrate",5.45213542635455,1.01732942488254e-07,2.89135731282406e-07
"88","ASV","day6","richeness","low_or_high_glucose",-14.0589716527708,9.37475031819105e-35,6.74982022909755e-34
"89","ASV","day6","richeness","with_or_without_leucine",-5.19992038835248,3.66187894510629e-07,9.88707315178698e-07
"90","ASV","day6","richeness","with_or_without_citrate",1.29004667656028,0.198005672689852,0.25457872202981
"91","ASV","day8","shannon","low_or_high_glucose",-18.8200926837037,9.62506399633583e-53,1.1550076795603e-51
"92","ASV","day8","shannon","with_or_without_leucine",-6.57827401096355,2.0311811395189e-10,7.31225210226804e-10
"93","ASV","day8","shannon","with_or_without_citrate",6.16724380673865,2.14772997259932e-09,7.35003215727042e-09
"94","ASV","day8","richeness","low_or_high_glucose",-17.1571518342376,9.32429419900845e-47,8.3918647791076e-46
"95","ASV","day8","richeness","with_or_without_leucine",-3.12491426928992,0.00196115437957577,0.00336197893641561
"96","ASV","day8","richeness","with_or_without_citrate",1.68818556210929,0.0923796282661652,0.133026664703278
"97","ASV","day10","shannon","low_or_high_glucose",-23.4712381532731,5.64461446322617e-71,6.09618362028426e-69
"98","ASV","day10","shannon","with_or_without_leucine",-4.15448787054337,4.21155013691387e-05,8.42310027382773e-05
"99","ASV","day10","shannon","with_or_without_citrate",6.16447136763505,2.1777873058579e-09,7.35003215727042e-09
"100","ASV","day10","richeness","low_or_high_glucose",-20.7168238229229,3.27829656970358e-59,5.90093382546644e-58
"101","ASV","day10","richeness","with_or_without_leucine",-1.0743844995387,0.283517216142989,0.34404336340947
"102","ASV","day10","richeness","with_or_without_citrate",5.52254729499804,7.04154680656728e-08,2.11246404197019e-07
"103","ASV","day12","shannon","low_or_high_glucose",-20.0473122501472,8.74957208861656e-58,1.34993397938656e-56
"104","ASV","day12","shannon","with_or_without_leucine",-2.4828187930213,0.0135712533559407,0.0215543435653177
"105","ASV","day12","shannon","with_or_without_citrate",5.45682605992758,9.9060246700909e-08,2.89135731282406e-07
"106","ASV","day12","richeness","low_or_high_glucose",-13.7261857856377,1.34392118305405e-33,9.07146798561481e-33
"107","ASV","day12","richeness","with_or_without_leucine",-3.3542538455957,0.000896933655864621,0.0015880136857931
"108","ASV","day12","richeness","with_or_without_citrate",5.09884017128721,5.93013253966411e-07,1.52489122448506e-06
